iter	Logloss
132	0.1970086463
133	0.1968829677
134	0.1967745622
135	0.196697517
136	0.1966082087
137	0.1964897553
138	0.1964107953
139	0.1963076757
140	0.1962060523
141	0.1961012635
142	0.1959906768
143	0.1958190085
144	0.1957243215
145	0.1956243482
146	0.1955209435
147	0.1954131407
148	0.1952687083
149	0.1951998665
150	0.1950980058
151	0.1949802147
152	0.1949045347
153	0.1948080037
154	0.1946722722
155	0.1945351143
156	0.1944032486
157	0.1942609704
158	0.1941740096
159	0.1940757317
160	0.1939535105
161	0.1938029177
162	0.1936651703
163	0.1935518932
164	0.1934491919
165	0.1933261903
166	0.1932019282
167	0.1931042459
168	0.1930024871
169	0.1928769309
170	0.1927796585
171	0.1926693155
172	0.1925663408
173	0.192491625
174	0.1924095602
175	0.1923187832
176	0.1922288077
177	0.1921351116
178	0.1920118353
179	0.191921392
180	0.1918360426
181	0.1917552965
182	0.1916581182
183	0.1915764876
184	0.191506144
185	0.1914189565
186	0.1912984442
187	0.1912079509
188	0.1911026244
189	0.190934524
190	0.190832385
191	0.1907444402
192	0.1906602645
193	0.1905779779
194	0.1904842022
195	0.1903739507
196	0.1903214019
197	0.1902228288
198	0.1901424883
199	0.1900537778
200	0.1899711308
201	0.1898632278
202	0.1897754543
203	0.1896933959
204	0.1895948661
205	0.1895079957
206	0.1893920098
207	0.1893091415
208	0.1892262846
209	0.1891344984
210	0.1890384948
211	0.1889690318
212	0.188872473
213	0.1887973567
214	0.1886948834
215	0.1886220629
216	0.1884936352
217	0.1884122997
218	0.1883494504
219	0.1882693652
220	0.1881867393
221	0.1880773548
222	0.187984406
223	0.1878708598
224	0.1877906135
225	0.1877192178
226	0.1876592521
227	0.1875939707
228	0.1875156209
229	0.187421626
230	0.187332894
231	0.1872456672
232	0.1871800755
233	0.1870887265
234	0.1869763462
235	0.1869325074
236	0.1868499167
237	0.1867469801
238	0.1866860247
239	0.1866070256
240	0.1865160492
241	0.1863978924
242	0.1863453581
243	0.1862464669
244	0.1861543004
245	0.1860843974
246	0.1859840955
247	0.1859202858
248	0.1858597633
249	0.1857928447
250	0.1857255072
251	0.18567044
252	0.1855697118
253	0.1855008153
254	0.1854298809
255	0.1853317206
256	0.1852514959
257	0.1851807403
258	0.1851086921
259	0.1850404664
260	0.1849493415
261	0.1848762974
262	0.1847895778
263	0.1847178534
264	0.1846640486
265	0.1845571974
266	0.1844975776
267	0.1843853979
268	0.1842609498
269	0.1841698114
270	0.1841247761
271	0.184068616
272	0.1839318688
273	0.1838532512
274	0.1837710872
275	0.1836911727
276	0.183630816
277	0.1835579314
278	0.1834923996
279	0.1834007631
280	0.1833472954
281	0.1832826972
282	0.1832065329
283	0.1831545319
284	0.1830757234
285	0.1829929382
286	0.1829091278
287	0.182835051
288	0.1827599387
289	0.1826798477
290	0.1826129837
291	0.18255504
292	0.1824840647
293	0.182418118
294	0.1823343234
295	0.1822734186
296	0.1821966672
297	0.1821132192
298	0.1820807454
299	0.1819933928
300	0.1819031099
301	0.181786855
302	0.1817094521
303	0.1816351768
304	0.1815401749
305	0.1814808937
306	0.1814065941
307	0.1813524603
308	0.1812476546
309	0.1811079734
310	0.1810288871
311	0.1809305659
312	0.1808885567
313	0.180832169
314	0.1807532845
315	0.1806959838
316	0.1806327396
317	0.1805806807
318	0.1805375036
319	0.1804804528
320	0.1803999487
321	0.1803299103
322	0.1802632248
323	0.1801915288
324	0.1801263912
325	0.1800776141
326	0.1799955576
327	0.1799104531
328	0.1798073213
329	0.1797452243
330	0.1796932341
331	0.1796290077
332	0.1795790348
333	0.1795179481
334	0.1794537789
335	0.1794062394
336	0.1793102205
337	0.1792437865
338	0.1791949275
339	0.1791370871
340	0.1790662808
341	0.1789896965
342	0.1789144678
343	0.1788449221
344	0.1787952257
345	0.1787262806
346	0.178641162
347	0.178596764
348	0.1785292746
349	0.1784688776
350	0.1783793638
351	0.1782981973
352	0.1782443802
353	0.1781825727
354	0.1781197723
355	0.178065958
356	0.1779897797
357	0.1779287203
358	0.1778673026
359	0.177805418
360	0.1777159688
361	0.1776468045
362	0.1775361555
363	0.1774672786
364	0.1773938201
365	0.1773382993
366	0.177255963
367	0.1771913654
368	0.1771054726
369	0.1770354326
370	0.1769578861
371	0.1769022237
372	0.17682747
373	0.1767767089
374	0.1767009694
375	0.1766315323
376	0.1765595806
377	0.1765156604
378	0.1764539111
379	0.1764047628
380	0.1763164353
381	0.1762428176
382	0.1761987333
383	0.1761384636
384	0.1760726587
385	0.1759961543
386	0.1759061764
387	0.1758234788
388	0.1757198978
389	0.1756562432
390	0.1755932438
391	0.1755376434
392	0.1754540604
393	0.1753982822
394	0.1753356999
395	0.1752898318
396	0.1752350281
397	0.1751527189
398	0.1750882463
399	0.1750354092
400	0.1749740597
401	0.174923071
402	0.1748788842
403	0.1748053459
404	0.1747323644
405	0.1746694755
406	0.1746090741
407	0.1745433289
408	0.1745141993
409	0.1744451889
410	0.1743799359
411	0.174334624
412	0.1742722352
413	0.1741870923
414	0.1740994073
415	0.1740430856
416	0.1740025744
417	0.1739549411
418	0.173877141
419	0.1737667743
420	0.1736990708
421	0.1736301471
422	0.1735687255
423	0.1735144056
424	0.173461838
425	0.1734067058
426	0.173316104
427	0.1732526109
428	0.173198307
429	0.1731346734
430	0.1730682659
431	0.1730004666
432	0.1729481829
433	0.1728927688
434	0.1728428095
435	0.1727750684
436	0.1727143506
437	0.1726589428
438	0.1725688335
439	0.1725000218
440	0.1724412787
441	0.1723680628
442	0.1723103397
443	0.1722546881
444	0.172207714
445	0.1721680569
446	0.1721083757
447	0.1720637673
448	0.1720001096
449	0.1719332457
450	0.1718696694
451	0.1718111413
452	0.1717679711
453	0.171712703
454	0.1716164981
455	0.1715661746
456	0.1715023198
457	0.1714400443
458	0.1713857704
459	0.1713415323
460	0.171276071
461	0.1712314316
462	0.1711341889
463	0.1710621325
464	0.1709866212
465	0.1709330831
466	0.1708921145
467	0.1708514263
468	0.1708024523
469	0.1707494993
470	0.1706927826
471	0.1706434429
472	0.1705945054
473	0.1705515437
474	0.1704773526
475	0.1704184844
476	0.1703685941
477	0.1703203621
478	0.1702643001
479	0.1701905507
480	0.1701351532
481	0.170083867
482	0.1700338568
483	0.1699734489
484	0.1699172754
485	0.1698618157
486	0.1698132191
487	0.1697716787
488	0.169708848
489	0.1696468254
490	0.1695829461
491	0.1695066075
492	0.1694436237
493	0.1693970553
494	0.1693444093
495	0.169286147
496	0.1692381974
497	0.1691781404
498	0.1691220228
499	0.1690575857
